"title","video_url","duration","thumbnail_url","channel_name","channel_url","relative_date","estimated_date"
"Why China isn’t Scared of Robots","https://www.youtube.com/watch?v=B-9jqYt1lPk","19:44","https://i.ytimg.com/vi/B-9jqYt1lPk/hqdefault.jpg","PolyMatter","https://www.youtube.com/@PolyMatter","2y ago",""
"I Judged the Tiramisu World Cup","https://www.youtube.com/watch?v=TPZSpYrS0Cs","7:07","https://i.ytimg.com/vi/TPZSpYrS0Cs/hqdefault.jpg","James Hoffmann","https://www.youtube.com/@jameshoffmann","2y ago",""
"Why Israel has so many Palestinian prisoners","https://www.youtube.com/watch?v=9boE53Z_lAg","11:50","https://i.ytimg.com/vi/9boE53Z_lAg/hqdefault.jpg","Vox","https://www.youtube.com/@Vox","2y ago",""
"China’s Fundamental Economic Problem","https://www.youtube.com/watch?v=d7SVsqg4Jzk","14:55","https://i.ytimg.com/vi/d7SVsqg4Jzk/hqdefault.jpg","PolyMatter","https://www.youtube.com/@PolyMatter","2y ago",""
"Gaza, explained","https://www.youtube.com/watch?v=lv1SpwwJEW8","15:51","https://i.ytimg.com/vi/lv1SpwwJEW8/hqdefault.jpg","Vox","https://www.youtube.com/@Vox","2y ago",""
"How One Line in the Oldest Math Text Hinted at Hidden Universes","https://www.youtube.com/watch?v=lFlu60qs7_4","31:12","https://i.ytimg.com/vi/lFlu60qs7_4/hqdefault.jpg","Veritasium","https://www.youtube.com/@veritasium","2y ago",""
"Where the Israeli army was when Hamas attacked","https://www.youtube.com/watch?v=a9FbqgOi-4g","8:27","https://i.ytimg.com/vi/a9FbqgOi-4g/hqdefault.jpg","Vox","https://www.youtube.com/@Vox","2y ago",""
"The day women shut down Iceland","https://www.youtube.com/watch?v=e9OsIj32w7U","8:54","https://i.ytimg.com/vi/e9OsIj32w7U/hqdefault.jpg","Vox","https://www.youtube.com/@Vox","2y ago",""
"Canada’s Secret Weapon: America’s Broken Immigration System","https://www.youtube.com/watch?v=kRhZdmtw3Wg","17:15","https://i.ytimg.com/vi/kRhZdmtw3Wg/hqdefault.jpg","PolyMatter","https://www.youtube.com/@PolyMatter","2y ago",""
"We can prevent the next epidemic - George Zaidan","https://www.youtube.com/watch?v=wefiAkgs09M","6:26","https://i.ytimg.com/vi/wefiAkgs09M/hqdefault.jpg","TED-Ed","https://www.youtube.com/@TEDEd","3y ago",""
"The Obscure Law that Killed U.S. Maritime Shipping","https://www.youtube.com/watch?v=Hoq_m3zSFNc","22:21","https://i.ytimg.com/vi/Hoq_m3zSFNc/hqdefault.jpg","PolyMatter","https://www.youtube.com/@PolyMatter","3y ago",""
"How Palestinians were expelled from their homes","https://www.youtube.com/watch?v=rGVgjS98OsU","16:26","https://i.ytimg.com/vi/rGVgjS98OsU/hqdefault.jpg","Vox","https://www.youtube.com/@Vox","3y ago",""
"How Bad Economics Destroyed Venezuela","https://www.youtube.com/watch?v=RVYEltxtCSU","13:44","https://i.ytimg.com/vi/RVYEltxtCSU/hqdefault.jpg","PolyMatter","https://www.youtube.com/@PolyMatter","3y ago",""
